4FGL-DR4,source_type,glat,glon,significance,r95,Ep,Fp,d,diffuse,p_pulsar
4FGL J0026.6-4600,bll-bll,-70.481,315.920,13.242,0.035,1000.000,0.067,-0.018,-0.640,0.007
4FGL J0027.0-1134,unid-bll,-73.422,101.514,4.385,0.062,1000.000,0.011,0.028,-0.495,0.007
4FGL J0028.1+7505,bcu-bll,12.294,121.404,12.069,0.052,2.852,0.141,0.596,0.501,0.054
4FGL J0028.5+2001,fsrq-fsrq,-42.529,115.614,89.213,0.015,0.422,38.474,0.216,-0.158,0.010
4FGL J0028.8-0112,bll-bll,-63.515,110.199,4.079,0.072,0.100,0.035,-0.048,-0.522,0.005
4FGL J0028.9+3553,bll-bll,-26.758,117.821,11.370,0.102,0.100,0.123,0.054,-0.183,0.004
4FGL J0029.0-7044,bll-fsrq,-46.270,305.605,19.135,0.038,0.100,1.070,0.009,-0.332,0.006
4FGL J0029.4+2051,bcu-bll,-41.712,116.050,9.746,0.047,13.807,0.049,0.714,-0.314,0.003
4FGL J0030.2+0001,bll-bll,-62.364,111.430,5.120,0.060,1.025,0.007,0.139,-0.483,0.005
4FGL J0030.2-5149,unid-fsrq,-64.975,310.692,4.769,0.258,0.125,0.081,0.366,-0.608,0.005
4FGL J0030.2-1647,bll-bll,-78.566,96.466,14.667,0.032,12.744,0.172,0.340,-0.638,0.004
4FGL J0030.3-4224,fsrq-fsrq,-74.124,317.268,52.354,0.032,0.100,21.600,0.122,-0.611,0.008
4FGL J0030.4+0451,msp,-57.613,113.134,140.184,0.013,1.200,417.254,0.854,-0.497,0.996
4FGL J0030.6-0212,fsrq-fsrq,-64.579,110.743,53.719,0.026,0.193,19.621,0.247,-0.481,0.006
4FGL J0030.6+0539,unid-fsrq,-56.827,113.453,4.134,0.283,0.100,5.101,0.061,-0.427,0.006
4FGL J0030.9-3618,unid-bll,-79.838,327.037,6.286,0.088,1000.000,0.112,-0.066,-0.658,0.007
4FGL J0031.0-2327,unid-bll,-84.106,70.318,10.294,0.111,2.030,0.061,1.318,-0.627,0.355
4FGL J0031.3+0726,bll-bll,-55.086,114.196,8.389,0.065,7.793,0.026,0.179,-0.316,0.004
4FGL J0031.5-5648,unid-bll,-60.111,308.383,7.580,0.112,8.585,0.024,0.327,-0.569,0.004
4FGL J0032.3-5522,bcu-fsrq,-61.549,308.639,13.041,0.040,0.797,0.270,0.406,-0.555,0.008
4FGL J0032.3-5539,unid-bll,-61.257,308.520,4.948,0.042,173.101,0.048,0.392,-0.551,0.008
4FGL J0032.4-2849,bll-bll,-85.475,9.845,6.955,0.125,0.363,0.036,0.211,-0.610,0.004
4FGL J0032.5-4724,bcu-bll,-69.391,312.016,5.595,0.068,20.859,0.017,0.502,-0.636,0.005
4FGL J0033.3-2040,bll-bll,-82.336,89.421,6.026,0.056,58.039,0.013,0.163,-0.649,0.005
4FGL J0033.5-1921,bll-bll,-81.217,94.186,76.818,0.013,22.004,24.591,0.156,-0.630,0.011
4FGL J0033.9+3858,bcu-bll,-23.774,119.215,11.054,0.145,1.027,0.115,0.467,-0.235,0.002
4FGL J0034.0-4116,bcu-fsrq,-75.413,316.001,14.901,0.067,0.100,1.595,-0.017,-0.512,0.008
4FGL J0034.3-0534,msp,-68.073,111.504,66.414,0.022,0.816,21.887,0.518,-0.433,0.997
4FGL J0034.6+6438,unid-bll,1.826,121.134,9.882,0.069,0.584,0.999,0.325,0.976,0.395
4FGL J0035.0-5728,bcu-fsrq,-59.518,307.286,7.231,0.150,0.371,0.069,0.475,-0.594,0.007
4FGL J0035.2+1514,bll-bll,-47.450,117.153,36.551,0.021,10.447,2.624,0.235,-0.240,0.008
4FGL J0035.2-1739,unid-bll,-79.825,100.584,4.530,0.051,29.467,0.010,0.242,-0.644,0.005
4FGL J0035.8-0837,bll-bll,-71.139,110.920,9.021,0.098,2.781,0.053,0.580,-0.440,0.002
4FGL J0035.8+6131,bcu-fsrq,-1.292,121.077,7.122,0.111,0.100,3.748,0.222,0.802,0.002
4FGL J0035.9+5950,bll-bll,-2.980,120.982,69.934,0.012,98.809,59.778,0.097,0.751,0.017
4FGL J0036.8+1431,bcu-bll,-48.192,117.638,4.909,0.112,0.100,0.082,-0.002,-0.160,0.006
4FGL J0036.9+1832,bcu-fsrq,-44.194,118.135,10.179,0.088,0.111,0.427,0.182,-0.230,0.005
4FGL J0037.2-2653,unid-bll,-86.833,36.390,4.132,0.119,0.100,0.069,0.103,-0.642,0.005
4FGL J0037.6+3653,fsrq-bll,-25.893,119.861,7.052,0.110,0.365,0.077,0.228,-0.235,0.005
4FGL J0037.8+1239,bll-fsrq,-50.083,117.773,23.327,0.034,0.100,1.490,0.045,-0.171,0.005
4FGL J0037.9+2612,bll-bll,-36.572,119.158,7.230,0.231,0.177,0.075,0.195,-0.301,0.004
4FGL J0038.1+0012,bll-bll,-62.474,115.733,18.241,0.040,0.100,0.302,-0.007,-0.538,0.006
4FGL J0038.2-2459,fsrq-fsrq,-86.347,67.943,97.558,0.015,0.271,23.175,0.170,-0.666,0.007
4FGL J0038.7-0204,rdg-fsrq,-64.761,115.486,7.960,0.400,0.100,3.974,0.254,-0.518,0.002
4FGL J0039.0-0946,fsrq-fsrq,-72.409,112.763,12.126,0.122,0.100,2.794,0.227,-0.490,0.001
4FGL J0039.1-2219,bll-bll,-84.444,92.032,12.513,0.070,786.281,0.196,0.043,-0.637,0.005
4FGL J0039.1+6257,unid-pulsar,0.122,121.535,28.653,0.034,1.652,9.699,0.975,0.984,0.997
4FGL J0039.1+4330,bcu-bll,-19.304,120.581,9.553,0.039,2.861,0.040,0.359,-0.146,0.002
4FGL J0039.7+4203,unid-bll,-20.754,120.615,5.293,0.089,0.100,0.177,0.031,-0.232,0.005
4FGL J0040.2-2725,unid-bll,-87.495,25.414,6.615,0.088,4.366,0.006,0.689,-0.660,0.011
4FGL J0040.3+4050,bll-bll,-21.987,120.680,10.817,0.033,1000.000,1.759,-0.100,-0.144,0.009
4FGL J0040.4-2340,bll-bll,-85.738,86.555,8.099,0.055,1.376,0.028,0.318,-0.659,0.004
4FGL J0040.7-7157,unid-bll,-45.138,304.102,7.717,0.065,4.833,0.027,0.523,-0.293,0.003
4FGL J0040.9+3203,bcu-bll,-30.766,120.347,4.550,0.176,0.918,0.052,0.716,-0.180,0.005
4FGL J0041.3-0048,unid-fsrq,-63.563,117.249,4.345,0.670,0.100,2.849,0.196,-0.533,0.002
4FGL J0041.3+6052,bcu-pulsar,-1.970,121.707,12.913,0.140,0.418,6.987,1.292,0.648,0.920
4FGL J0041.4+3800,fsrq-bll,-24.820,120.771,7.380,0.054,1000.000,0.420,-0.100,-0.234,0.006
4FGL J0041.7-1607,bcu-bll,-78.766,110.908,5.332,0.053,11.873,0.007,0.277,-0.649,0.005
4FGL J0041.9-4702,bll-bll,-69.995,307.668,7.402,0.084,15.285,0.012,0.424,-0.608,0.005
4FGL J0042.0+3640,bll-bll,-26.161,120.828,7.271,0.054,0.210,0.017,0.027,-0.280,0.005
4FGL J0042.2+2319,fsrq-bll,-39.496,120.193,16.854,0.041,0.100,0.546,0.073,-0.387,0.006
4FGL J0042.3+3509,unid-bll,-27.682,120.836,4.002,0.067,16.819,0.041,1.998,-0.229,0.002
4FGL J0043.2+4114,gal-pulsar,-21.604,121.285,8.953,0.156,0.752,0.238,1.020,-0.120,0.921
4FGL J0043.5-0442,bll-bll,-67.493,117.763,9.824,0.059,0.100,0.081,-0.028,-0.304,0.004
4FGL J0043.6+2223,bcu-bll,-40.449,120.562,6.417,0.056,0.100,0.057,0.034,-0.378,0.005
4FGL J0043.7-1116,bll-bll,-74.050,116.025,11.949,0.073,5.904,0.074,0.366,-0.527,0.001
4FGL J0043.8+3425,fsrq-bll,-28.414,121.162,67.485,0.015,4.565,10.876,0.126,-0.085,0.006
4FGL J0044.2-8424,fsrq-fsrq,-32.724,303.139,6.088,0.073,0.100,1.721,-0.018,0.173,0.006
4FGL J0044.8+6802,bcu-fsrq,5.174,122.316,13.439,0.056,0.119,2.186,0.171,0.723,0.002
4FGL J0044.9+4553,bcu-bll,-16.964,121.747,5.629,0.151,0.115,0.065,0.159,-0.094,0.004
4FGL J0045.1-3706,fsrq-fsrq,-79.934,310.095,17.578,0.045,0.100,4.208,0.064,-0.458,0.007
4FGL J0045.3+2128,bll-bll,-41.383,121.047,47.787,0.014,18.663,4.920,0.153,-0.380,0.010
4FGL J0045.7+1217,bll-bll,-50.555,120.735,32.642,0.022,4.078,0.864,0.067,-0.162,0.001
4FGL J0045.8-1324,unid-bll,-76.213,117.258,5.911,0.068,86.609,0.008,0.037,-0.639,0.007
4FGL J0045.9-2021,unid-bll,-83.121,112.118,8.428,0.050,3.467,0.013,0.182,-0.657,0.004
4FGL J0046.7-7048,unid-bll,-46.310,303.493,4.670,0.075,0.100,0.062,-0.100,-0.326,0.005
4FGL J0046.9+0705,unid-bll,-55.762,120.958,5.085,0.114,1.315,0.022,0.736,-0.304,0.003
4FGL J0047.0+5657,bll-bll,-5.906,122.326,21.446,0.025,1.807,0.791,0.220,0.439,0.001
4FGL J0047.3+6943,unid-bll,6.853,122.572,7.190,0.054,1.513,0.023,0.029,0.637,0.004
4FGL J0047.5-2517,sbg-bll,-87.969,97.574,29.740,0.026,0.895,0.828,0.197,-0.594,0.077
4FGL J0047.9+3947,bll-bll,-23.069,122.194,27.240,0.023,9.360,0.514,0.026,-0.267,0.005
4FGL J0047.9+5448,bcu-bll,-8.067,122.424,7.267,0.039,1000.000,0.364,-0.004,0.385,0.005
4FGL J0047.9+2233,fsrq-fsrq,-40.302,121.889,10.303,0.051,0.100,1.527,0.054,-0.338,0.007
4FGL J0048.6-6347,unid-pulsar,-53.334,303.443,18.787,0.054,1.887,0.245,0.810,-0.558,0.989
4FGL J0048.6-2427,bcu-bll,-87.255,109.728,10.618,0.080,1.901,0.033,0.188,-0.640,0.003
4FGL J0049.0+2252,bll-bll,-39.995,122.201,8.034,0.045,0.104,0.068,0.076,-0.330,0.004
4FGL J0049.1+4223,bll-bll,-20.480,122.473,6.721,0.054,10.961,0.032,0.431,-0.148,0.003
4FGL J0049.2+6227,bcu-bll,-0.408,122.678,4.248,0.098,1.078,0.045,0.202,0.895,0.011
4FGL J0049.4-5402,bll-bll,-63.089,303.581,13.842,0.055,0.903,0.086,0.206,-0.536,0.002
4FGL J0049.5-4150,bcu-bll,-75.277,304.287,6.202,0.063,8.335,0.008,0.158,-0.618,0.005
4FGL J0049.6-4500,fsrq-bll,-72.116,303.947,8.885,0.080,0.100,0.282,0.172,-0.635,0.006
4FGL J0049.7+0237,bll-bll,-60.242,122.083,54.940,0.031,0.762,5.809,0.179,-0.472,0.004
4FGL J0050.0-5736,fsrq-fsrq,-59.511,303.291,44.945,0.050,0.100,15.736,0.005,-0.530,0.010
4FGL J0050.4-0452,fsrq-fsrq,-67.751,122.281,30.092,0.037,0.212,3.801,0.188,-0.354,0.004
4FGL J0050.7-0929,bll-bll,-72.364,122.332,87.664,0.014,1.925,25.888,0.116,-0.464,0.006
4FGL J0050.8+3330,unid-bll,-29.360,122.788,4.748,0.151,0.100,0.052,0.147,-0.126,0.005
4FGL J0051.1-0648,fsrq-fsrq,-69.681,122.712,28.417,0.040,0.259,3.165,0.260,-0.303,0.003
4FGL J0051.2-6242,bll-bll,-54.425,302.960,69.563,0.014,20.682,12.764,0.206,-0.599,0.011
4FGL J0051.5-4220,fsrq-fsrq,-74.783,302.876,17.511,0.133,0.100,4.987,0.472,-0.574,0.004
4FGL J0052.1+6444,unid-pulsar,1.870,123.010,9.470,0.093,0.837,1.006,0.654,0.953,0.998
4FGL J0052.9-6644,bcu-bll,-50.391,302.691,9.540,0.064,1000.000,0.080,-0.072,-0.585,0.005
4FGL J0054.4+8627,bcu-fsrq,23.582,122.982,12.259,0.100,0.100,4.694,0.175,-0.059,0.002
4FGL J0054.7-2455,bll-bll,-87.680,141.986,35.678,0.021,22.006,1.384,0.149,-0.599,0.011
4FGL J0054.8-1954,bcu-bll,-82.742,129.229,4.262,0.174,0.487,0.023,0.304,-0.600,0.005
4FGL J0055.1-1219,bcu-fsrq,-75.167,126.449,27.361,0.064,0.423,0.985,0.319,-0.537,0.003
4FGL J0055.7+4507,unid-bll,-17.741,123.732,4.498,0.051,9.819,0.015,1.305,-0.026,0.006
4FGL J0056.3-0935,bll-bll,-72.433,126.946,31.173,0.029,44.014,1.240,0.062,-0.363,0.014
4FGL J0056.4-2118,bll-bll,-84.062,134.363,37.179,0.031,4.041,1.473,0.267,-0.604,0.006
4FGL J0056.5-3936,bll-bll,-77.472,298.359,5.834,0.148,2.598,0.019,1.420,-0.531,0.007
4FGL J0056.6-4452,bll-bll,-72.225,299.924,8.826,0.132,1.115,0.030,0.585,-0.629,0.005
4FGL J0056.6-5317,bcu-bll,-63.815,301.172,11.444,0.055,2.064,0.037,0.336,-0.549,0.003
4FGL J0056.8+1626,bll-bll,-46.416,124.800,6.041,0.119,0.100,0.051,0.068,-0.187,0.004
4FGL J0057.0+4101,bcu-bll,-21.842,124.065,5.626,0.067,2.723,0.022,0.565,-0.221,0.003
4FGL J0057.3+2216,bcu-bll,-40.578,124.738,7.820,0.115,0.168,0.035,0.053,-0.401,0.004
