4FGL-DR4,source_type,glat,glon,significance,r95,Ep,Fp,d,diffuse,p_pulsar
4FGL J1826.5-1202,unid-pulsar,-0.058,19.398,6.668,0.176,0.648,89.129,1.150,1.983,0.992
4FGL J1827.2+4303,unid-bll,22.324,71.176,7.252,0.068,2.643,0.031,1.000,-0.220,0.002
4FGL J1827.3-4128,unid-fsrq,-13.413,352.934,5.479,0.103,0.453,0.224,0.672,0.216,0.255
4FGL J1827.4+3424,fsrq-fsrq,19.535,62.398,4.090,0.231,0.135,0.241,0.504,-0.062,0.002
4FGL J1827.4-1445,psr,-1.515,17.098,22.097,0.030,2.014,99.536,2.000,1.543,0.970
4FGL J1827.5+2015,bcu-bll,14.173,48.702,5.408,0.066,0.100,0.038,-0.038,0.277,0.005
4FGL J1827.5+1141,unid-pulsar,10.555,40.751,18.879,0.044,1.593,1.406,0.601,0.388,0.994
4FGL J1827.6-0849,msp,1.216,22.368,21.609,0.036,0.796,29.221,0.355,1.446,0.991
4FGL J1827.6-4029,bcu-pulsar,-13.060,353.871,4.646,0.147,1.282,0.162,1.663,0.248,0.961
4FGL J1828.0-1133,spp-pulsar,-0.144,19.997,13.383,0.083,0.871,105.615,1.067,1.941,0.994
4FGL J1828.0+2634,bcu-bll,16.555,54.774,9.142,0.067,8.802,0.033,0.317,0.119,0.004
4FGL J1828.1-1312,unid-pulsar,-0.922,18.549,6.921,0.116,1.353,12.038,1.241,1.638,0.995
4FGL J1828.2-3252,unid-pulsar,-9.898,0.951,5.945,0.083,3.014,0.171,1.263,0.453,0.494
4FGL J1828.4-1059,psr,0.037,20.536,11.708,0.076,0.201,242.610,0.384,1.884,0.982
4FGL J1828.5-5920,bcu-bll,-20.309,335.676,4.577,0.053,15.473,0.013,0.623,0.116,0.006
4FGL J1828.7+3230,bcu-pulsar,18.623,60.620,16.861,0.061,1.456,0.623,1.079,0.037,1.000
4FGL J1829.0-2417,bll-bll,-6.223,8.785,12.895,0.030,0.100,0.786,0.010,0.728,0.005
4FGL J1829.1+2729,bcu-fsrq,16.697,55.757,17.913,0.083,0.290,2.120,0.435,0.172,0.002
4FGL J1829.2-5813,fsrq-fsrq,-20.021,336.830,72.468,0.022,0.113,165.328,0.277,0.149,0.007
4FGL J1829.3+5402,bll-bll,24.801,82.858,25.696,0.026,9.791,0.349,0.247,-0.358,0.004
4FGL J1829.3-1614,spp-bll,-2.606,15.998,4.619,0.052,1000.000,10.621,-0.100,1.075,0.017
4FGL J1829.4-1256,spp-pulsar,-1.087,18.920,8.581,0.095,1.477,15.089,1.502,1.648,0.979
4FGL J1829.4-1500,unid-pulsar,-2.058,17.101,4.099,0.077,0.100,78.102,-0.100,1.067,0.632
4FGL J1829.5+4845,css-fsrq,23.498,77.248,53.163,0.025,0.100,26.575,0.131,-0.164,0.005
4FGL J1829.6-2545,unid-pulsar,-7.008,7.532,5.263,0.128,0.922,0.681,1.973,0.652,0.939
4FGL J1829.6-4310,unid-pulsar,-14.503,351.511,6.696,0.183,1.303,0.193,1.411,0.143,0.980
4FGL J1829.9+3934,bcu-bll,20.784,67.775,5.958,0.075,0.100,0.307,0.048,-0.159,0.006
4FGL J1830.0+3958,bcu-fsrq,20.890,68.172,6.414,0.104,0.100,1.241,0.383,-0.138,0.003
4FGL J1830.0-5225,bll-bll,-18.106,342.639,7.884,0.075,2.977,0.093,1.106,0.124,0.006
4FGL J1830.0+1324,bll-bll,10.746,42.608,14.127,0.036,2.683,0.202,0.135,0.396,0.001
4FGL J1830.0-1515,unid-bll,-2.299,16.948,4.074,0.123,1000.000,6.237,-0.100,1.220,0.015
4FGL J1830.1-0212,unid-pulsar,3.730,28.523,6.479,0.160,0.847,5.745,0.952,1.469,0.988
4FGL J1830.1-1440,unid-bll,-2.043,17.471,4.328,0.051,1000.000,4.734,-0.100,1.082,0.014
4FGL J1830.1+0617,fsrq-bll,7.586,36.137,11.444,0.044,0.675,1.002,0.251,0.660,0.003
4FGL J1830.2-4443,bcu-fsrq,-15.209,350.086,21.954,0.050,0.258,7.351,0.513,0.123,0.004
4FGL J1830.3-1601,spp-bll,-2.704,16.296,4.116,0.056,388.409,2.298,0.466,1.072,0.022
4FGL J1830.7-1634,unid-pulsar,-3.037,15.852,21.161,0.037,1.151,8.166,0.444,0.896,0.924
4FGL J1830.7-2414,unid-pulsar,-6.555,9.006,5.999,0.094,1.657,0.390,1.581,0.717,0.985
4FGL J1830.7-2713,bcu-bll,-7.895,6.319,13.506,0.045,1.236,0.878,0.262,0.610,0.430
4FGL J1830.7-3219,unid-fsrq,-10.147,1.687,4.649,0.110,0.507,0.291,0.509,0.428,0.039
4FGL J1830.8-3132,unid-pulsar,-9.807,2.411,15.424,0.040,2.155,1.204,1.100,0.444,1.000
4FGL J1830.8-0947,psr,0.063,21.885,14.967,0.248,0.523,586.698,1.522,1.946,0.970
4FGL J1831.1-6503,msp,-22.349,329.934,21.496,0.036,1.765,0.772,0.900,0.067,1.000
4FGL J1831.2-0013,unid-pulsar,4.378,30.430,4.277,0.086,1.821,0.582,1.245,1.164,1.000
4FGL J1831.3-0203,unid-fsrq,3.533,28.801,5.606,0.075,0.184,2.742,0.153,1.471,0.002
4FGL J1831.4-2909,unid-pulsar,-8.886,4.641,4.729,0.247,0.974,0.469,1.953,0.517,0.952
4FGL J1831.6-0223,unid-pulsar,3.304,28.542,7.530,0.109,1.027,4.081,0.539,1.401,0.992
4FGL J1831.8-2514,unid-pulsar,-7.213,8.220,5.607,0.155,1.040,0.422,1.332,0.584,1.000
4FGL J1831.8-1503,spp-pulsar,-2.598,17.321,5.120,0.109,2.200,0.626,1.991,0.968,0.993
4FGL J1831.9+3820,bll-bll,20.010,66.664,9.061,0.108,7.584,0.019,0.193,-0.178,0.004
4FGL J1832.3-1433,spp-pulsar,-2.467,17.824,5.066,0.083,1.957,0.490,0.694,0.964,1.000
4FGL J1832.4-0847,unid-pulsar,0.186,22.944,12.701,0.063,2.635,34.194,1.747,1.984,0.981
4FGL J1832.4-0152,unid-bll,3.373,29.088,4.348,0.131,0.184,1.319,0.155,1.392,0.003
4FGL J1832.6-5658,bll-bll,-20.033,338.250,31.177,0.026,0.910,1.130,0.100,0.145,0.001
4FGL J1832.7+0618,unid-bll,7.022,36.444,4.204,0.052,1.242,0.064,0.248,0.678,0.004
4FGL J1832.9-0913,hmb-pulsar,-0.139,22.618,10.903,0.126,0.800,93.865,0.829,2.028,0.997
4FGL J1833.0-3840,msp,-13.250,356.017,9.774,0.107,1.054,0.405,0.966,0.226,0.995
4FGL J1833.4+1109,unid-bll,9.014,40.923,5.777,0.087,1.643,0.105,0.808,0.477,0.224
4FGL J1833.5-1033,psr,-0.874,21.508,36.698,0.024,0.417,525.184,0.344,1.744,0.969
4FGL J1833.6-2103,fsrq-fsrq,-5.705,12.166,203.587,0.010,0.143,22257.615,0.257,0.729,0.009
4FGL J1834.1-0706,snr-pulsar,0.585,24.634,26.991,0.000,3.606,97.411,0.165,1.684,0.422
4FGL J1834.2+3136,fsrq-bll,17.202,60.175,17.832,0.037,0.100,0.789,-0.068,0.098,0.008
4FGL J1834.2-4021,unid-fsrq,-14.150,354.532,5.776,0.158,0.668,0.148,0.718,0.226,0.077
4FGL J1834.2-0827,unid-pulsar,-0.072,23.456,8.638,0.084,0.745,166.310,1.192,2.039,0.994
4FGL J1834.3+0613,unid-pulsar,6.635,36.548,7.980,0.105,1.646,0.603,0.877,0.672,1.000
4FGL J1834.7-0724,unid-pulsar,0.312,24.435,9.843,0.076,1.017,61.331,0.877,1.942,0.997
4FGL J1834.7-5858,bll-fsrq,-20.941,336.319,7.968,0.067,0.329,0.152,0.296,0.056,0.003
4FGL J1834.9-0800,unid-pulsar,-0.014,23.938,9.548,0.134,0.567,126.261,0.821,2.051,0.997
4FGL J1834.9-2819,unid-fsrq,-9.214,5.749,6.205,0.090,0.567,0.474,0.533,0.479,0.329
4FGL J1835.3-2439,unid-fsrq,-7.677,9.105,7.142,0.122,0.100,3.199,0.127,0.607,0.002
4FGL J1835.5+1349,bll-bll,9.720,43.564,7.769,0.076,2.380,0.085,0.374,0.470,0.001
4FGL J1835.7-0541,bcu-fsrq,0.883,26.070,4.235,0.081,0.100,2.911,0.034,1.633,0.002
4FGL J1835.7-3258,msp,-11.368,1.552,13.877,0.049,0.780,1.193,0.587,0.361,0.996
4FGL J1836.1+1143,unid-bll,8.680,41.723,8.300,0.065,1.491,0.127,0.356,0.468,0.013
4FGL J1836.1-2656,unid-pulsar,-8.847,7.109,4.110,0.288,0.662,0.699,1.604,0.518,0.984
4FGL J1836.2+5925,psr,25.001,88.878,587.570,0.007,1.183,83118.941,0.784,-0.242,0.970
4FGL J1836.4+3137,bll-fsrq,16.779,60.369,11.927,0.038,0.100,3.420,-0.005,0.102,0.003
4FGL J1836.5+1948,bcu-bll,12.068,49.185,12.683,0.062,0.100,0.234,-0.016,0.333,0.006
4FGL J1836.8-2354,unid-pulsar,-7.644,9.936,12.025,0.169,0.920,1.874,1.017,0.585,1.000
4FGL J1836.8-0727,unid-pulsar,-0.177,24.645,11.661,0.076,0.833,116.136,0.975,1.947,0.994
4FGL J1836.9+4439,unid-bll,21.130,73.376,4.880,0.051,5.369,0.008,0.223,-0.078,0.004
4FGL J1837.0+5347,bcu-fsrq,23.640,82.878,12.522,0.070,0.100,3.255,0.025,-0.262,0.003
4FGL J1837.3+1052,bcu-fsrq,8.040,41.083,7.000,0.069,0.154,0.421,0.195,0.542,0.003
4FGL J1837.4-1646,bcu-pulsar,-4.557,16.406,7.520,0.281,0.631,2.267,1.468,0.777,0.993
4FGL J1837.6-2904,nov-pulsar,-10.068,5.321,10.882,0.220,0.602,1.582,0.827,0.413,0.816
4FGL J1837.8-0604,psr,0.227,25.977,10.576,0.058,0.732,33.355,0.369,1.859,0.994
4FGL J1837.9-0620,unid-bll,0.097,25.746,4.791,0.078,0.937,5.140,0.290,1.873,0.473
4FGL J1838.0-0516,unid-pulsar,0.561,26.711,4.285,0.158,0.744,10.726,0.983,1.762,0.993
4FGL J1838.0-5959,bll-bll,-21.651,335.424,13.590,0.073,10.957,0.125,0.415,0.060,0.002
4FGL J1838.2+3223,unid-pulsar,16.706,61.279,9.475,0.069,0.679,0.315,0.752,0.109,0.925
4FGL J1838.3-2148,unid-pulsar,-7.030,11.986,6.853,0.052,2.861,0.175,1.127,0.613,0.853
4FGL J1838.4-6023,bll-bll,-21.805,335.022,7.382,0.097,1000.000,0.066,-0.034,0.078,0.007
4FGL J1838.4-0630,unid-pulsar,-0.087,25.650,5.393,0.058,0.714,30.583,0.630,1.908,0.996
4FGL J1838.4-0545,unid-pulsar,0.250,26.325,5.209,0.072,0.994,43.220,0.774,1.882,0.997
4FGL J1838.5+3837,unid-bll,18.883,67.397,5.983,0.138,1.165,0.033,0.684,-0.106,0.009
4FGL J1838.5+5733,bll-bll,24.302,86.936,6.569,0.062,7.306,0.005,0.260,-0.186,0.006
4FGL J1838.7-0601,unid-bll,0.064,26.132,5.735,0.065,1.843,2.080,0.146,1.913,0.032
4FGL J1838.8+4802,bll-bll,21.822,76.950,77.463,0.012,26.803,14.601,0.080,-0.193,0.011
4FGL J1838.9-3457,bcu-pulsar,-12.796,359.992,12.666,0.064,0.758,1.219,0.927,0.326,1.000
4FGL J1838.9-0537,psr,0.199,26.515,36.488,0.018,1.374,1129.740,0.628,1.859,0.990
4FGL J1839.0-1502,unid-pulsar,-4.132,18.130,7.596,0.109,0.901,0.617,0.667,0.828,0.998
4FGL J1839.2-0420,unid-bll,0.728,27.671,4.151,0.098,5.022,0.417,0.390,1.544,0.010
4FGL J1839.4-0553,unid-pulsar,-0.026,26.325,29.154,0.021,0.934,1167.633,0.617,1.871,0.958
4FGL J1839.6-7107,fsrq-fsrq,-24.624,323.751,9.787,0.160,0.100,3.054,0.487,-0.013,0.002
4FGL J1840.0-0341,spp-pulsar,0.855,28.347,10.009,0.071,1.596,10.860,1.581,1.510,0.966
4FGL J1840.0-0411,spp-pulsar,0.616,27.901,12.219,0.044,1.682,20.686,0.696,1.630,0.991
4FGL J1840.3+1105,unid-bll,7.477,41.603,5.839,0.105,1.380,0.110,0.619,0.537,0.134
4FGL J1840.3-3037,bcu-pulsar,-11.257,4.149,5.159,0.306,0.593,0.306,0.824,0.336,0.841
4FGL J1840.4-1705,unid-bll,-5.341,16.445,5.773,0.065,1.699,0.114,0.320,0.696,0.003
4FGL J1840.4-1139,unid-pulsar,-2.879,21.311,9.892,0.083,1.764,2.152,1.299,1.003,1.000
4FGL J1840.5+3707,bcu-fsrq,17.983,66.063,5.560,0.321,0.218,0.819,1.316,-0.118,0.035
4FGL J1840.6-5545,bcu-fsrq,-20.699,339.870,7.988,0.119,0.339,0.250,0.601,0.085,0.002
4FGL J1841.0+6115,bcu-fsrq,24.787,90.980,12.433,0.064,0.100,1.303,0.015,-0.266,0.007
4FGL J1841.3+2909,bll-bll,14.847,58.428,18.726,0.029,61.198,0.548,0.126,0.306,0.014
4FGL J1841.6+7113,unid-bll,26.354,101.904,6.573,0.090,1000.000,0.038,-0.062,-0.234,0.005
4FGL J1841.8+3218,bll-bll,15.977,61.477,19.442,0.024,8.719,0.443,0.407,0.084,0.004
4FGL J1842.1+2737,unid-pulsar,14.086,57.048,18.706,0.052,2.178,1.055,1.292,0.183,0.996
4FGL J1842.2-0328,unid-pulsar,0.457,28.784,4.082,0.110,0.100,31.879,0.245,1.763,0.832
4FGL J1842.2-0751,spp-pulsar,-1.552,24.903,5.918,0.102,1.432,0.545,0.430,1.213,0.926
4FGL J1842.3+6810,fsrq-fsrq,25.876,98.539,12.678,0.122,0.100,4.848,-0.027,-0.189,0.005
4FGL J1842.4-3135,unid-bll,-12.063,3.436,4.329,0.052,1.753,0.033,0.395,0.324,0.004
4FGL J1842.4-5840,bll-bll,-21.801,336.948,13.386,0.026,44.710,0.181,0.223,0.093,0.015
4FGL J1842.4+7613,bcu-bll,26.819,107.461,5.367,0.145,0.100,0.252,0.023,-0.081,0.005
4FGL J1842.5-0359,unid-pulsar,0.155,28.370,10.952,0.192,0.650,111.973,0.954,1.930,0.996
4FGL J1842.8+5311,unid-bll,22.653,82.492,5.182,0.242,0.100,0.063,0.114,-0.311,0.005
4FGL J1843.3-1242,unid-pulsar,-4.000,20.689,11.302,0.081,1.416,1.319,0.665,0.875,0.990
4FGL J1843.4-4835,rdg-bll,-18.755,347.206,6.797,0.068,4.558,0.018,0.205,0.095,0.006
4FGL J1843.6-2219,unid-pulsar,-8.354,12.061,4.953,0.094,1.452,0.154,1.152,0.564,0.692
4FGL J1843.7-0326,unid-pulsar,0.146,28.994,6.203,0.047,0.263,78.683,0.381,1.896,0.996
4FGL J1843.7-1114,msp,-3.418,22.046,22.749,0.065,0.414,35.298,0.581,0.836,0.994
4FGL J1843.8-2011,bcu-pulsar,-7.454,14.016,9.600,0.105,1.640,0.633,1.180,0.593,1.000
4FGL J1844.4+1547,bll-bll,8.633,46.314,39.850,0.018,2.850,7.545,0.195,0.544,0.004
4FGL J1844.4-0345,psr,-0.166,28.794,26.328,0.033,1.618,259.867,1.290,1.938,0.976
4FGL J1844.4-0306,unid-pulsar,0.126,29.365,12.335,0.116,0.424,218.829,0.594,1.895,0.996
4FGL J1844.6-2342,unid-fsrq,-9.155,10.908,4.917,0.432,0.189,0.308,0.261,0.586,0.005
4FGL J1844.7-2110,unid-fsrq,-8.086,13.221,6.198,0.142,0.349,0.555,0.395,0.565,0.048
4FGL J1844.8-0957,unid-pulsar,-3.066,23.315,7.299,0.096,0.665,1.121,0.501,0.929,0.989
4FGL J1844.8-3248,bcu-bll,-13.034,2.517,4.584,0.049,13.351,0.034,0.500,0.295,0.003
4FGL J1844.9+5709,bll-bll,23.379,86.728,23.806,0.043,0.832,0.337,0.148,-0.259,0.019
4FGL J1845.0+1613,bcu-fsrq,8.695,46.767,13.515,0.073,0.100,1.461,0.088,0.573,0.005
4FGL J1845.0+0159,msp,2.329,33.983,6.550,0.102,2.525,1.073,2.000,1.191,0.967
4FGL J1845.3+5605,unid-bll,23.051,85.625,5.274,0.188,0.387,0.019,0.279,-0.261,0.005
4FGL J1845.8-0831,spp-pulsar,-2.631,24.706,14.102,0.054,1.156,3.898,0.580,0.985,0.995
4FGL J1845.8-0236,unid-bll,0.057,29.973,4.848,0.041,0.327,4.109,0.148,1.978,0.022
4FGL J1845.8-2521,unid-pulsar,-10.120,9.518,19.356,0.056,0.962,2.833,0.612,0.492,0.993
4FGL J1846.0+0507,unid-pulsar,3.536,36.886,10.032,0.059,3.465,0.826,0.894,1.007,0.994
4FGL J1846.0-6101,unid-bll,-22.877,334.652,4.054,0.082,1.041,0.008,0.155,0.080,0.005
4FGL J1846.3+0919,psr,5.354,40.690,69.256,0.015,1.760,139.356,1.010,0.714,0.989
4FGL J1846.4-0258,pwn-bll,-0.238,29.712,4.539,0.084,1.699,0.310,0.019,1.911,0.008
4FGL J1846.5+7731,unid-bll,26.702,108.944,4.766,0.064,3.069,0.004,0.145,-0.124,0.006
4FGL J1846.7+7238,bcu-bll,26.145,103.519,10.912,0.062,16.276,0.026,0.374,-0.116,0.007
4FGL J1846.9-0227,unid-pulsar,-0.113,30.235,10.374,0.119,0.765,48.008,0.492,1.968,0.997
4FGL J1846.9-0247,unid-pulsar,-0.281,29.930,4.155,0.167,1.222,21.107,1.193,1.975,0.996
4FGL J1847.0-0625,unid-pulsar,-1.949,26.718,8.580,0.105,2.123,1.022,0.998,1.047,0.996
4FGL J1847.2-0141,unid-pulsar,0.161,30.948,7.611,0.094,0.492,137.726,0.513,1.983,0.995
4FGL J1847.2-1633,unid-fsrq,-6.574,17.661,4.091,0.189,0.100,1.105,0.098,0.632,0.004
4FGL J1847.2-0200,unid-pulsar,0.002,30.665,6.666,0.065,1.247,15.738,0.656,2.075,0.997
4FGL J1847.5-0859,unid-fsrq,-3.224,24.468,4.171,0.250,0.280,1.282,0.435,0.910,0.148
4FGL J1847.6+5219,bcu-bll,21.713,81.807,11.175,0.077,1.463,0.033,0.240,-0.282,0.003
4FGL J1847.7-0125,unid-bll,0.168,31.237,5.216,0.068,0.241,3.545,0.101,1.981,0.009
4FGL J1847.7+3543,unid-bll,16.131,65.264,4.996,0.066,7.735,0.018,0.789,-0.072,0.004
4FGL J1847.7-3433,unid-pulsar,-14.299,1.110,6.791,0.090,1.761,0.140,1.119,0.226,0.798
4FGL J1847.9+5022,unid-bll,21.087,79.826,4.677,0.268,0.178,0.050,0.262,-0.234,0.004
4FGL J1848.1-4230,bcu-bll,-17.375,353.491,8.376,0.044,0.118,0.168,0.094,0.140,0.004
4FGL J1848.1-0148,unid-pulsar,-0.090,30.949,4.337,0.093,2.336,3.101,0.610,1.963,0.972
4FGL J1848.2-1309,unid-pulsar,-5.261,20.824,6.187,0.196,0.992,0.845,1.422,0.756,1.000
4FGL J1848.2-0016,unid-pulsar,0.581,32.330,7.250,0.125,1.149,7.019,0.736,1.707,0.997
4FGL J1848.4+3217,fsrq-fsrq,14.686,62.031,33.968,0.021,0.487,16.635,0.352,0.109,0.009
4FGL J1848.5+6537,bll-bll,24.836,95.892,11.873,0.043,42.429,0.066,0.341,-0.239,0.007
4FGL J1848.5+3243,fsrq-fsrq,14.825,62.459,30.873,0.023,0.166,27.427,0.237,0.060,0.007
4FGL J1848.6-2711,bcu-pulsar,-11.456,8.093,7.140,0.100,0.434,1.032,0.857,0.464,0.819
4FGL J1848.6-0202,unid-pulsar,-0.317,30.792,6.450,0.212,0.723,62.446,0.786,1.931,0.998
4FGL J1848.7-6307,unid-bll,-23.701,332.511,4.878,0.053,25.646,0.007,0.139,0.101,0.006
4FGL J1848.7-0129,glc-pulsar,-0.096,31.296,20.413,0.034,1.942,167.819,1.078,1.909,0.991
4FGL J1848.8+0701,unid-pulsar,3.764,38.906,4.243,0.165,0.472,8.556,1.887,1.080,0.845
4FGL J1848.9+4247,bll-bll,18.466,72.247,10.839,0.040,5.597,0.042,0.023,-0.097,0.004
4FGL J1849.0-1826,unid-pulsar,-7.794,16.153,6.774,0.103,0.923,0.329,0.866,0.517,0.901
4FGL J1849.1-0652,unid-pulsar,-2.624,26.551,5.007,0.089,0.985,0.361,0.505,0.914,0.874
4FGL J1849.2+2106,unid-fsrq,9.919,51.666,4.667,0.113,0.100,4.959,-0.100,0.389,0.006
4FGL J1849.2-1647,bll-bll,-7.098,17.674,13.701,0.026,1000.000,1.607,-0.034,0.592,0.012
4FGL J1849.2+6705,fsrq-fsrq,25.042,97.487,80.524,0.012,0.250,69.828,0.187,-0.207,0.005
4FGL J1849.3-6447,bcu-bll,-24.149,330.764,9.512,0.049,10.092,0.051,0.467,-0.001,0.002
4FGL J1849.4+2745,bll-bll,12.667,57.839,10.864,0.054,0.728,0.259,0.270,0.210,0.001
4FGL J1849.4-0056,snr-pulsar,0.018,31.863,27.868,0.024,0.813,142.614,0.259,1.759,0.941
4FGL J1849.4-0117,unid-pulsar,-0.146,31.547,6.202,0.111,0.158,66.437,0.246,1.830,0.842
4FGL J1849.4-4313,bll-bll,-17.857,352.889,34.157,0.032,0.717,3.293,0.169,0.090,0.001
4FGL J1849.8-0952,unid-pulsar,-4.139,23.942,4.930,0.179,0.588,1.748,1.703,0.732,0.944
4FGL J1850.1-0758,bcu-fsrq,-3.342,25.685,10.056,0.049,0.100,2.398,-0.039,0.793,0.002
4FGL J1850.2-0201,unid-fsrq,-0.669,30.998,5.307,0.175,0.100,13.781,0.041,1.701,0.230
4FGL J1850.3-0031,spp-pulsar,-0.005,32.347,9.556,0.165,0.859,26.985,0.843,1.709,0.998
4FGL J1850.5+2631,bll-bll,11.929,56.801,9.863,0.050,89.448,0.149,0.187,0.315,0.009
4FGL J1850.7-3126,unid-pulsar,-13.626,4.315,6.416,0.119,0.612,0.626,1.273,0.333,0.925
4FGL J1850.8-1105,unid-pulsar,-4.896,22.970,7.156,0.164,1.234,0.920,1.574,0.703,1.000
4FGL J1851.0+1558,unid-bll,7.289,47.177,4.598,0.090,1.628,0.108,1.000,0.556,0.319
4FGL J1851.0-3003,unid-bll,-13.129,5.644,4.591,0.070,0.100,1.184,-0.100,0.342,0.003
4FGL J1851.5+3406,bcu-bll,14.801,64.014,6.820,0.071,1.012,0.041,0.350,-0.015,0.003
4FGL J1851.5+0718,unid-pulsar,3.302,39.459,10.112,0.083,2.182,2.233,1.413,1.114,1.000
4FGL J1851.8-0007,spp-pulsar,-0.154,32.873,5.545,0.236,0.669,20.169,0.904,1.785,0.995
4FGL J1851.9-1522,unid-pulsar,-7.053,19.237,4.068,0.258,0.937,0.385,1.896,0.613,0.963
4FGL J1852.2-1309,msp,-6.145,21.271,10.575,0.058,2.345,0.906,1.625,0.630,0.993
4FGL J1852.4+4856,fsrq-fsrq,19.949,78.598,36.846,0.022,0.130,4.424,0.119,-0.212,0.007
4FGL J1852.5-3450,unid-pulsar,-15.317,1.253,4.478,0.236,0.674,0.243,1.402,0.194,0.648
4FGL J1852.6+0203,unid-pulsar,0.668,34.904,9.739,0.081,0.583,22.358,0.445,1.646,0.992
4FGL J1852.6-1159,unid-pulsar,-5.701,22.366,4.248,0.095,0.818,0.265,0.446,0.723,0.675
4FGL J1852.7-1242,unid-pulsar,-6.041,21.720,5.127,0.097,0.932,0.332,0.665,0.665,0.956
4FGL J1853.0-0956,unid-pulsar,-4.878,24.240,5.041,0.090,1.051,0.316,0.983,0.708,0.992
4FGL J1853.2-0841,glc-pulsar,-4.346,25.393,5.535,0.232,0.882,0.462,0.896,0.699,1.000
4FGL J1853.2-0922,unid-fsrq,-4.669,24.773,4.570,0.157,0.427,0.292,0.350,0.705,0.055
4FGL J1853.3-0005,psr,-0.476,33.075,7.077,0.095,3.309,4.185,1.937,1.523,0.969
4FGL J1853.3-2447,unid-fsrq,-11.429,10.771,7.408,0.180,0.278,0.764,0.369,0.481,0.039
4FGL J1853.4-1605,unid-pulsar,-7.697,18.754,4.218,0.164,0.594,0.752,1.987,0.551,0.641
4FGL J1853.6-0620,unid-pulsar,-3.389,27.534,7.783,0.125,0.738,0.834,0.480,0.806,0.991
4FGL J1853.8+6714,bll-bll,24.638,97.753,4.876,0.058,2.670,0.008,0.333,-0.264,0.004
4FGL J1853.8-1107,unid-bll,-5.582,23.276,4.208,0.098,0.193,0.388,0.218,0.636,0.004
4FGL J1854.1+0142,unid-pulsar,0.187,34.763,5.676,0.073,0.570,21.474,0.478,1.874,0.996
4FGL J1854.3-3640,unid-bll,-16.355,359.624,6.398,0.074,1.787,0.088,0.686,0.170,0.016
4FGL J1854.5+2050,unid-bll,8.675,51.969,4.736,0.100,1000.000,1.673,0.377,0.401,0.016
4FGL J1854.6-6007,bll-bll,-23.683,335.877,9.127,0.057,3.803,0.039,0.543,-0.033,0.002
4FGL J1854.6+3800,unid-fsrq,15.713,68.004,4.398,0.382,0.191,0.476,1.018,-0.030,0.059
4FGL J1854.7-0716,unid-bll,-4.039,26.812,5.805,0.159,0.352,0.897,0.333,0.802,0.153
4FGL J1854.7+0153,unid-pulsar,0.120,34.998,8.883,0.154,0.944,34.750,0.443,1.854,0.995
4FGL J1854.9+4054,unid-bll,16.758,70.817,5.733,0.059,0.100,0.393,-0.100,0.024,0.007
4FGL J1855.1-2243,glc-pulsar,-10.909,12.858,10.385,0.050,1.489,0.479,0.820,0.377,1.000
4FGL J1855.1-3025,glc-bll,-14.087,5.674,4.242,0.119,1.218,0.088,0.893,0.336,0.033
4FGL J1855.2+0756,unid-pulsar,2.773,40.443,4.894,0.160,0.349,42.405,1.271,1.245,0.932
4FGL J1855.2+0456,unid-pulsar,1.403,37.767,11.006,0.095,0.212,95.042,0.501,1.515,0.993
4FGL J1855.4+7350,fsrq-fsrq,25.701,104.943,10.512,0.106,0.111,1.868,0.399,-0.034,0.004
4FGL J1855.6-3603,unid-pulsar,-16.360,0.322,5.733,0.122,1.187,0.263,1.784,0.161,0.987
4FGL J1855.7+0224,unid-pulsar,0.142,35.570,9.111,0.092,0.360,178.293,0.732,1.829,0.992
4FGL J1855.8+0150,unid-pulsar,-0.136,35.073,9.758,0.080,0.709,34.050,0.356,1.809,0.994
4FGL J1855.8-2028,bcu-bll,-10.119,15.011,7.036,0.072,3.216,0.075,0.587,0.439,0.001
4FGL J1855.9+0121,snr-pulsar,-0.388,34.653,76.723,0.000,0.927,27080.586,0.478,1.742,0.963
4FGL J1855.9-1435,msp,-7.581,20.378,12.611,0.049,1.584,0.698,0.361,0.636,0.900
4FGL J1856.1-1222,unid-bll,-6.634,22.397,9.646,0.045,0.875,0.351,0.149,0.697,0.006
4FGL J1856.2+0749,unid-pulsar,2.495,40.456,5.357,0.108,3.054,1.178,1.942,1.306,0.988
4FGL J1856.3-0548,unid-fsrq,-3.739,28.319,4.314,0.165,0.208,0.914,0.329,0.829,0.013
4FGL J1856.5+1735,unid-pulsar,6.831,49.240,11.393,0.070,1.005,0.711,1.003,0.588,1.000
4FGL J1856.7+0125,unid-pulsar,-0.522,34.804,6.130,0.070,0.483,959.830,0.816,1.738,0.992
4FGL J1856.7-0116,unid-pulsar,-1.767,32.406,4.652,0.152,0.438,1.535,0.492,1.104,0.777
4FGL J1857.1+0056,unid-pulsar,-0.849,34.430,12.130,0.050,2.686,38.590,1.093,1.742,0.977
4FGL J1857.2+0941,msp,3.118,42.231,6.671,0.223,0.330,3.577,0.606,0.938,0.424
4FGL J1857.4+0106,unid-pulsar,-0.826,34.606,9.911,0.055,3.129,24.304,1.242,1.704,0.970
4FGL J1857.6+0143,psr,-0.588,35.181,11.231,0.086,2.131,27.771,2.000,1.654,0.970
4FGL J1857.6+0212,spp-pulsar,-0.383,35.603,12.965,0.044,0.740,275.111,0.872,1.645,0.997
