4FGL-v30,source_type,glat,glon,variability,significance,class1,association,flags,r95,trainer,Ep,Fp,d,diffuse,Ep_unc,d_unc,p_pulsar
4FGL J1750.9-3301,unID-bll,-3.079,357.085,15.234,5.489,,unID,{1},0.084,,1.524,0.446,0.455,,1.129,0.307,0.090
4FGL J1750.9-2655,unID-pulsar,0.019,2.328,8.590,5.020,,unID,"{4,6,14}",0.135,,1.163,10.663,1.613,,0.352,0.727,1.000
4FGL J1751.1-3455,unID-fsrq,-4.083,355.460,5.927,4.504,,unID,"{2,5,14}",0.293,,0.246,0.957,0.339,,0.330,0.306,0.140
4FGL J1751.1+0109,unID-pulsar,13.925,26.986,11.141,4.828,,unID,{},0.295,,0.429,1.052,1.557,,0.128,0.726,0.660
4FGL J1751.5+0938,bll-bll,17.651,34.911,939.711,80.435,bll,bll,{},0.014,bll,0.369,101.079,0.180,,0.077,0.024,0.000
4FGL J1751.6+2921,unID-fsrq,25.071,54.554,190.183,9.715,bcu,unID,{},0.059,,0.324,0.394,0.441,,0.194,0.194,0.010
4FGL J1751.6-1750,unID-bll,4.527,10.237,8.519,8.243,bcu,unID,"{4,5}",0.065,,0.100,2.344,0.038,,0.013,0.098,0.000
4FGL J1752.0+3606,unID-bll,26.932,61.785,23.739,8.244,,unID,{},0.078,,8.745,0.041,0.505,,3.568,0.299,0.000
4FGL J1752.3-2914,unID-pulsar,-1.414,0.484,6.073,6.589,,unID,"{2,4,5,14}",0.072,,1.182,5.519,1.632,,0.334,0.677,1.000
4FGL J1752.3-3139,unID-pulsar,-2.641,358.417,8.635,5.047,,unID,"{1,2,4,5,14}",0.073,,0.567,1.345,0.492,,0.423,0.290,0.820
4FGL J1752.4-0758,unID-pulsar,9.279,18.944,12.143,4.721,,unID,{4},0.228,,0.480,1.537,1.433,,0.141,0.535,0.890
4FGL J1752.6-1010,unID-pulsar,8.148,17.036,14.055,5.759,bcu,unID,{4},0.073,,0.750,0.751,0.708,,0.342,0.395,0.870
4FGL J1752.7-3810,unID-pulsar,-6.002,352.816,16.027,5.506,,unID,"{1,14}",0.128,,0.718,0.486,0.841,,0.343,0.447,0.610
4FGL J1752.7-3040,unID-pulsar,-2.222,359.304,10.774,8.192,,unID,"{2,4,14}",0.124,,1.055,4.014,1.173,,0.324,0.479,1.000
4FGL J1752.8-4449,unID-pulsar,-9.316,346.991,9.786,12.250,,unID,{},0.046,,1.627,0.944,0.637,,0.590,0.259,0.960
4FGL J1753.2-2848,unID-pulsar,-1.357,0.965,7.080,6.611,unk,unID,{14},0.091,,1.590,2.908,1.577,,0.447,0.653,1.000
4FGL J1753.3-3325,unID-pulsar,-3.727,357.006,7.062,12.830,bcu,unID,{2},0.091,,1.130,5.072,1.135,,0.199,0.309,1.000
4FGL J1753.4-5913,unID-bll,-16.127,333.973,7.257,4.285,bcu,unID,{},0.065,,1.782,0.009,0.117,,5.550,0.229,0.010
4FGL J1753.6-5014,unID-fsrq,-12.034,342.222,232.915,17.453,bcu,unID,{3},0.074,,0.363,3.921,0.593,,0.102,0.154,0.010
4FGL J1753.7+2847,fsrq-fsrq,24.453,54.130,104.492,10.091,fsrq,fsrq,{},0.101,fsrq,0.100,0.355,0.143,,0.265,0.133,0.000
4FGL J1753.8-2538,unID-pulsar,0.127,3.766,5.210,35.938,,unID,{},0.020,,1.940,205.144,0.587,,0.252,0.089,0.980
4FGL J1753.9+2443,unID-bll,23.035,49.965,50.982,11.048,,unID,{},0.045,,2.411,0.124,0.340,,1.023,0.187,0.000
4FGL J1754.1-4333,unID-bll,-8.906,348.221,15.380,7.763,,unID,{3},0.032,,8.217,0.044,0.115,,12.764,0.178,0.000
4FGL J1754.2+3212,bll-bll,25.409,57.735,529.308,60.625,bll,bll,{},0.014,bll,4.779,9.339,0.210,,0.725,0.035,0.000
4FGL J1754.3-4443,unID-pulsar,-9.491,347.202,10.048,7.414,,unID,{5},0.067,,0.868,0.853,0.775,,0.375,0.305,0.950
4FGL J1754.3-2915,unID-pulsar,-1.803,0.699,6.141,5.053,,unID,"{1,4,5,14}",0.090,,1.754,1.974,1.963,,0.358,0.361,0.990
4FGL J1754.3-3236,unID-pulsar,-3.492,357.814,11.603,6.874,,unID,"{2,4,5,14}",0.215,,0.765,3.009,1.418,,0.205,0.526,0.990
4FGL J1754.4-2649,unID-pulsar,-0.596,2.811,6.074,4.763,unk,unID,{14},0.343,,0.330,4.679,0.248,,0.515,0.166,0.400
4FGL J1754.5-6425,bll-bll,-18.474,329.120,17.724,12.239,bll,bll,{},0.070,bll,0.102,0.801,0.178,,0.164,0.109,0.000
4FGL J1754.6-2933,unID-pulsar,-2.007,0.482,15.348,11.978,,unID,{14},0.074,,0.945,11.041,0.747,,0.283,0.232,1.000
4FGL J1754.7+3444,unID-fsrq,26.041,60.469,82.072,8.791,bcu,unID,{},0.144,,0.165,0.464,0.407,,0.153,0.220,0.000
4FGL J1754.8-3200,unID-pulsar,-3.271,358.382,15.292,7.505,,unID,"{1,12}",0.086,,2.857,1.014,1.993,,,,0.940
4FGL J1755.3-3937,unID-pulsar,-7.157,351.796,13.050,7.347,,unID,{14},0.172,,0.522,1.334,0.847,,0.188,0.365,0.900
4FGL J1755.4-2552,snr-bll,-0.303,3.741,10.868,6.813,snr,snr,"{3,5}",0.075,,0.295,11.649,0.210,,0.472,0.135,0.310
4FGL J1755.5-3734,unID-bll,-6.190,353.621,9.831,4.312,,unID,{2},0.132,,1.375,0.062,0.202,,2.393,0.211,0.020
4FGL J1755.6-2050,unID-fsrq,2.196,8.124,10.526,4.008,,unID,"{4,13,14}",0.065,,0.100,6.168,0.032,,,0.144,0.030
4FGL J1755.9+0953,unID-bll,16.773,35.632,9.197,5.607,,unID,{},0.051,,12.908,0.068,1.580,,4.239,0.909,0.000
4FGL J1756.1-2516,unID-pulsar,-0.129,4.340,9.370,9.694,unk,unID,"{3,4,5,14}",0.139,,0.617,57.601,0.797,,0.209,0.259,1.000
4FGL J1756.3+5522,bll-bll,29.715,83.488,27.207,21.303,bll,bll,{},0.023,bll,16.434,0.258,0.152,,11.155,0.078,0.000
4FGL J1756.3+0236,unID-pulsar,13.441,28.933,8.173,4.718,,unID,{},0.158,,0.376,0.770,1.232,,0.188,0.729,0.490
4FGL J1756.6-2352,spp-pulsar,0.466,5.616,9.368,7.127,spp,spp,"{2,5,14}",0.122,,0.383,9.074,0.258,,0.460,0.144,0.480
4FGL J1756.6+1553,fsrq-fsrq,19.118,41.451,11.628,6.195,fsrq,fsrq,{5},0.060,fsrq,4.851,0.057,1.895,,1.074,0.907,0.000
4FGL J1756.9+1531,unID-bll,18.902,41.118,16.937,5.418,bcu,unID,{},0.089,,1.115,0.039,0.258,,1.317,0.233,0.000
4FGL J1757.0+7032,bll-bll,29.975,100.988,23.792,11.067,bll,bll,{},0.036,bll,23.471,0.105,0.351,,13.041,0.184,0.000
4FGL J1757.1-1926,unID-pulsar,2.596,9.497,11.069,4.942,,unID,"{2,4,14}",0.113,,0.494,2.480,0.631,,0.290,0.312,0.850
4FGL J1757.1-3554,unID-pulsar,-5.633,355.232,11.423,7.786,,unID,"{3,14}",0.096,,1.130,0.794,1.102,,0.267,0.412,0.990
4FGL J1757.1-2848,unID-pulsar,-2.109,1.409,13.185,8.269,,unID,"{2,4,6,14}",0.094,,0.665,2.950,0.558,,0.367,0.214,0.960
4FGL J1757.4-3125,unID-pulsar,-3.459,359.164,18.972,12.109,,unID,"{3,14}",0.082,,0.775,4.299,0.586,,0.276,0.185,0.880
