4FGL-DR4,source_type,glat,glon,variability,significance,class1,assoc_prob,association,flags,r95,trainer,Ep,Fp,d,diffuse,Ep_unc,d_unc,p_pulsar
4FGL J0019.3-8152,bll-blazar,-35.162,304.314,26.699,22.790,bll,1.000,bll,{},0.035,blazar,0.100,0.580,0.017,0.051,0.263,0.055,0.000
4FGL J0019.6+7327,fsrq-blazar,10.726,120.633,494.149,18.718,fsrq,1.000,fsrq,{},0.032,blazar,0.100,18.495,0.208,0.364,0.077,0.082,0.000
4FGL J0019.6+2022,bll-blazar,-41.876,112.901,24.545,14.485,bll,0.999,bll,{},0.054,blazar,0.240,0.165,0.078,-0.263,0.802,0.106,0.000
4FGL J0021.0+0322,bll-blazar,-58.623,108.237,24.258,8.118,bll,0.897,bll,{},0.047,blazar,10.536,0.032,0.275,-0.463,7.734,0.264,0.000
4FGL J0021.5-2221,bcu_unk-blazar,-81.706,66.407,20.074,4.586,bcu,0.910,bcu_unk,{5},0.191,,0.180,0.120,0.536,-0.666,0.161,0.328,0.070
4FGL J0021.5-2552,bll-blazar,-83.200,41.926,48.788,29.602,bll,0.998,bll,{},0.028,blazar,0.680,0.662,0.110,-0.704,0.507,0.060,0.000
4FGL J0021.6-0855,bll-blazar,-70.475,100.403,20.356,7.882,bll,0.974,bll,{2},0.192,blazar,1.616,0.032,0.543,-0.474,0.963,0.642,0.190
4FGL J0021.7+4533,unID-blazar,-16.996,117.505,18.938,4.177,,0.000,unID,{},0.084,,0.975,0.016,0.484,-0.105,1.232,0.471,0.380
4FGL J0021.9-5140,bll-blazar,-64.835,313.701,39.290,27.131,bll,1.000,bll,{},0.029,blazar,2.481,0.379,0.078,-0.656,1.668,0.055,0.000
4FGL J0022.0+0006,bll-blazar,-61.858,107.207,14.636,9.647,bll,0.999,bll,{},0.043,blazar,1000.000,6.857,-0.100,-0.489,,0.097,0.000
4FGL J0022.0-5921,unID-blazar,-57.381,309.870,19.921,12.374,,0.000,unID,{2},0.112,,0.100,1.404,0.023,-0.649,,0.099,0.000
4FGL J0022.1-1854,bll-blazar,-79.374,82.083,26.897,32.228,bll,1.000,bll,{},0.022,blazar,4.493,0.854,0.174,-0.584,1.473,0.065,0.000
4FGL J0022.5+0608,bll-blazar,-56.011,110.012,239.235,61.903,bll,1.000,bll,{},0.022,blazar,0.377,10.958,0.101,-0.420,0.191,0.030,0.000
4FGL J0023.4+0920,msp,-52.897,111.420,10.709,31.199,MSP,1.000,msp,{2},0.043,pulsar,1.130,3.395,0.827,-0.130,0.120,0.154,1.000
4FGL J0023.6-4209,unID-blazar,-73.933,321.850,27.932,4.417,,0.720,unID,{},0.145,,0.100,0.026,-0.070,-0.698,,0.133,0.000
4FGL J0023.7-6820,fsrq-blazar,-48.582,306.789,53.352,14.540,fsrq,0.996,fsrq,{},0.079,blazar,0.100,5.531,0.267,-0.447,0.031,0.123,0.000
4FGL J0023.7+4457,fsrq-blazar,-17.645,117.804,101.658,24.017,fsrq,0.998,fsrq,{2},0.073,blazar,0.183,2.693,0.249,-0.174,0.118,0.083,0.000
4FGL J0023.9+1603,bll-blazar,-46.295,113.345,17.245,9.319,bll,0.997,bll,{},0.061,blazar,2.189,0.058,0.239,-0.281,1.568,0.207,0.000
4FGL J0024.0-7204,glc-pulsar,-44.891,305.902,9.754,106.730,glc,1.000,glc,{},0.015,,1.409,56.664,0.715,-0.341,0.050,0.045,1.000
4FGL J0024.1+2402,unID-blazar,-38.413,114.975,27.399,10.413,,0.000,unID,{3},0.060,,0.100,0.078,0.001,-0.342,,0.118,0.000
4FGL J0024.1+7909,unID-blazar,16.355,121.600,18.462,7.060,,0.000,unID,{},0.035,,3.336,0.012,0.138,0.169,5.684,0.221,0.000
4FGL J0024.4+4647,bcu_unk-blazar,-15.824,118.143,34.149,4.115,bcu,0.942,bcu_unk,{2},0.144,,0.100,1.590,-0.089,-0.097,,0.130,0.000
4FGL J0024.7+0349,fsrq-blazar,-58.378,110.178,108.194,5.278,fsrq,0.998,fsrq,{},0.072,blazar,0.100,0.141,0.142,-0.485,0.214,0.192,0.000
4FGL J0025.3+6408,snr-blazar,1.422,120.094,6.863,17.046,snr,0.964,snr,{},0.052,,0.100,2.657,0.042,1.012,0.149,0.062,0.000
4FGL J0025.4-4838,unID-blazar,-67.908,314.391,24.896,7.417,,0.000,unID,"{3,5}",0.079,,0.100,1.547,-0.100,-0.670,,0.073,0.000
4FGL J0025.5-5936,unID-blazar,-57.218,308.988,23.710,6.109,,0.120,unID,"{1,5}",0.302,,0.100,0.326,0.096,-0.651,0.044,0.186,0.000
4FGL J0025.7-4801,bcu_unk-blazar,-68.517,314.724,100.152,13.456,bcu,0.986,bcu_unk,{},0.055,,1.696,0.107,0.488,-0.682,0.719,0.282,0.020
4FGL J0026.1-0732,unID-blazar,-69.518,104.762,12.689,9.666,,0.000,unID,{},0.049,,10.160,0.028,0.177,-0.454,10.621,0.201,0.000
4FGL J0026.6-4600,bll-blazar,-70.481,315.920,22.267,13.242,bll,1.000,bll,{},0.035,blazar,1000.000,0.067,-0.018,-0.694,,0.087,0.000
4FGL J0027.0-1134,unID-blazar,-73.422,101.514,14.851,4.385,,0.000,unID,{},0.062,,1000.000,0.011,0.028,-0.521,344050.219,0.227,0.000
4FGL J0028.1+7505,bcu_unk-pulsar,12.294,121.404,10.037,12.069,bcu,0.997,bcu_unk,{3},0.052,,2.852,0.141,0.596,0.506,0.822,0.256,0.660
4FGL J0028.5+2001,fsrq-blazar,-42.529,115.614,7178.108,89.213,fsrq,1.000,fsrq,{},0.015,blazar,0.422,38.474,0.216,-0.130,0.069,0.028,0.000
4FGL J0028.8-0112,bll-blazar,-63.515,110.199,18.783,4.079,bll,0.983,bll,{},0.072,blazar,0.100,0.035,-0.048,-0.545,,0.173,0.000
4FGL J0028.9+3553,bll-blazar,-26.758,117.821,17.873,11.370,bll,0.982,bll,{},0.102,blazar,0.100,0.123,0.054,-0.167,0.376,0.113,0.000
4FGL J0029.0-7044,bll-blazar,-46.270,305.605,63.630,19.135,bll,0.999,bll,{},0.038,blazar,0.100,1.070,0.009,-0.350,,0.069,0.000
4FGL J0029.4+2051,bcu_unk-blazar,-41.712,116.050,21.768,9.746,bcu,0.997,bcu_unk,{},0.047,,13.807,0.049,0.714,-0.328,5.909,0.393,0.010
4FGL J0030.2+0001,bll-blazar,-62.364,111.430,19.285,5.120,bll,0.992,bll,{},0.060,blazar,1.025,0.007,0.139,-0.513,2.462,0.209,0.000
4FGL J0030.2-5149,unID-blazar,-64.975,310.692,16.943,4.769,,0.240,unID,{},0.258,,0.125,0.081,0.366,-0.651,0.249,0.325,0.060
4FGL J0030.2-1647,bll-blazar,-78.566,96.466,41.825,14.667,bll,1.000,bll,{},0.032,blazar,12.744,0.172,0.340,-0.679,5.832,0.157,0.000
